"Response number","Vote for the student council party"
57,"- No vote (ไม่ประสงค์ลงคะเเนน)"
58,"- Not endorse (ไม่รับรอง)"
59,"- Endorse (รับรอง)"
60,"- Endorse (รับรอง)"
61,"- Not endorse (ไม่รับรอง)"
62,"- Not endorse (ไม่รับรอง)"
63,"- Endorse (รับรอง)"
64,"- Endorse (รับรอง)"
65,"- Endorse (รับรอง)"
66,"- No vote (ไม่ประสงค์ลงคะเเนน)"
67,"- Endorse (รับรอง)"
68,"- Endorse (รับรอง)"
69,"- No vote (ไม่ประสงค์ลงคะเเนน)"
70,"- Endorse (รับรอง)"
71,"- Not endorse (ไม่รับรอง)"
72,"- Not endorse (ไม่รับรอง)"
73,"- Not endorse (ไม่รับรอง)"
74,"- No vote (ไม่ประสงค์ลงคะเเนน)"
75,"- Endorse (รับรอง)"
76,"- Not endorse (ไม่รับรอง)"
77,"- No vote (ไม่ประสงค์ลงคะเเนน)"
78,"- Endorse (รับรอง)"
79,"- Endorse (รับรอง)"
80,"- Not endorse (ไม่รับรอง)"
81,"- Endorse (รับรอง)"
82,"- Endorse (รับรอง)"
83,"- Not endorse (ไม่รับรอง)"
84,"- Endorse (รับรอง)"
85,"- No vote (ไม่ประสงค์ลงคะเเนน)"
86,"- Endorse (รับรอง)"
87,"- No vote (ไม่ประสงค์ลงคะเเนน)"
88,"- Endorse (รับรอง)"
89,"- No vote (ไม่ประสงค์ลงคะเเนน)"
90,"- No vote (ไม่ประสงค์ลงคะเเนน)"
91,"- Endorse (รับรอง)"
92,"- Not endorse (ไม่รับรอง)"
93,"- No vote (ไม่ประสงค์ลงคะเเนน)"
94,"- Endorse (รับรอง)"
95,"- Not endorse (ไม่รับรอง)"
96,"- No vote (ไม่ประสงค์ลงคะเเนน)"
97,"- No vote (ไม่ประสงค์ลงคะเเนน)"
98,"- Not endorse (ไม่รับรอง)"
99,"- No vote (ไม่ประสงค์ลงคะเเนน)"
100,"- Endorse (รับรอง)"
101,"- Endorse (รับรอง)"
102,"- Not endorse (ไม่รับรอง)"
103,"- Endorse (รับรอง)"
104,"- Endorse (รับรอง)"
105,"- Endorse (รับรอง)"
106,"- Endorse (รับรอง)"
107,"- Endorse (รับรอง)"
108,"- Endorse (รับรอง)"
109,"- Endorse (รับรอง)"
110,"- Not endorse (ไม่รับรอง)"
111,"- Endorse (รับรอง)"
112,"- Endorse (รับรอง)"
113,"- Endorse (รับรอง)"
114,"- Endorse (รับรอง)"
115,"- Not endorse (ไม่รับรอง)"
116,"- No vote (ไม่ประสงค์ลงคะเเนน)"
117,"- Not endorse (ไม่รับรอง)"
118,"- No vote (ไม่ประสงค์ลงคะเเนน)"
119,"- No vote (ไม่ประสงค์ลงคะเเนน)"
120,"- Endorse (รับรอง)"
121,"- Endorse (รับรอง)"
122,"- No vote (ไม่ประสงค์ลงคะเเนน)"
123,"- Endorse (รับรอง)"
124,"- Endorse (รับรอง)"
125,"- Endorse (รับรอง)"
126,"- Not endorse (ไม่รับรอง)"
127,"- Not endorse (ไม่รับรอง)"
128,"- Not endorse (ไม่รับรอง)"
129,"- Not endorse (ไม่รับรอง)"
130,"- Endorse (รับรอง)"
131,"- Not endorse (ไม่รับรอง)"
132,"- Endorse (รับรอง)"
133,"- No vote (ไม่ประสงค์ลงคะเเนน)"
134,"- Endorse (รับรอง)"
135,"- Not endorse (ไม่รับรอง)"
136,"- No vote (ไม่ประสงค์ลงคะเเนน)"
137,"- Not endorse (ไม่รับรอง)"
138,"- No vote (ไม่ประสงค์ลงคะเเนน)"
139,"- No vote (ไม่ประสงค์ลงคะเเนน)"
140,"- Not endorse (ไม่รับรอง)"
141,"- Endorse (รับรอง)"
142,"- Endorse (รับรอง)"
143,"- Endorse (รับรอง)"
144,"- No vote (ไม่ประสงค์ลงคะเเนน)"
145,"- Not endorse (ไม่รับรอง)"
146,"- Endorse (รับรอง)"
147,"- Endorse (รับรอง)"
148,"- Endorse (รับรอง)"
149,"- No vote (ไม่ประสงค์ลงคะเเนน)"
150,"- Endorse (รับรอง)"
151,"- No vote (ไม่ประสงค์ลงคะเเนน)"
152,"- Not endorse (ไม่รับรอง)"
153,"- Endorse (รับรอง)"
154,"- Endorse (รับรอง)"
155,"- No vote (ไม่ประสงค์ลงคะเเนน)"
156,"- Not endorse (ไม่รับรอง)"
157,"- No vote (ไม่ประสงค์ลงคะเเนน)"
158,"- Endorse (รับรอง)"
159,"- Endorse (รับรอง)"
160,"- Not endorse (ไม่รับรอง)"
161,"- Endorse (รับรอง)"
162,"- No vote (ไม่ประสงค์ลงคะเเนน)"
163,"- No vote (ไม่ประสงค์ลงคะเเนน)"
164,"- No vote (ไม่ประสงค์ลงคะเเนน)"
165,"- Endorse (รับรอง)"
166,"- Endorse (รับรอง)"
167,"- Not endorse (ไม่รับรอง)"
168,"- Not endorse (ไม่รับรอง)"
169,"- No vote (ไม่ประสงค์ลงคะเเนน)"
170,"- No vote (ไม่ประสงค์ลงคะเเนน)"
171,"- Endorse (รับรอง)"
172,"- Endorse (รับรอง)"
173,"- Not endorse (ไม่รับรอง)"
174,"- Not endorse (ไม่รับรอง)"
175,"- Endorse (รับรอง)"
176,"- Not endorse (ไม่รับรอง)"
177,"- Endorse (รับรอง)"
178,"- Endorse (รับรอง)"
179,"- Endorse (รับรอง)"
180,"- No vote (ไม่ประสงค์ลงคะเเนน)"
181,"- Not endorse (ไม่รับรอง)"
182,"- Endorse (รับรอง)"
183,"- Endorse (รับรอง)"
184,"- Not endorse (ไม่รับรอง)"
185,"- Not endorse (ไม่รับรอง)"
186,"- Endorse (รับรอง)"
187,"- Endorse (รับรอง)"
188,"- No vote (ไม่ประสงค์ลงคะเเนน)"
189,"- No vote (ไม่ประสงค์ลงคะเเนน)"
190,"- Endorse (รับรอง)"
191,"- Not endorse (ไม่รับรอง)"
192,"- No vote (ไม่ประสงค์ลงคะเเนน)"
193,"- Endorse (รับรอง)"
194,"- Endorse (รับรอง)"
195,"- Endorse (รับรอง)"
196,"- Endorse (รับรอง)"
197,"- Endorse (รับรอง)"
198,"- Not endorse (ไม่รับรอง)"
199,"- Endorse (รับรอง)"
200,"- No vote (ไม่ประสงค์ลงคะเเนน)"
201,"- No vote (ไม่ประสงค์ลงคะเเนน)"
202,"- Endorse (รับรอง)"
203,"- Endorse (รับรอง)"
204,"- Endorse (รับรอง)"
205,"- No vote (ไม่ประสงค์ลงคะเเนน)"
206,"- Endorse (รับรอง)"
207,"- Endorse (รับรอง)"
208,"- Not endorse (ไม่รับรอง)"
209,"- Not endorse (ไม่รับรอง)"
210,"- Endorse (รับรอง)"
211,"- No vote (ไม่ประสงค์ลงคะเเนน)"
212,"- Endorse (รับรอง)"
213,"- Endorse (รับรอง)"
214,"- Endorse (รับรอง)"
215,"- Not endorse (ไม่รับรอง)"
216,"- Not endorse (ไม่รับรอง)"
217,"- Not endorse (ไม่รับรอง)"
218,"- Not endorse (ไม่รับรอง)"
219,"- No vote (ไม่ประสงค์ลงคะเเนน)"
220,"- Not endorse (ไม่รับรอง)"
221,"- Endorse (รับรอง)"
222,"- Not endorse (ไม่รับรอง)"
223,"- Endorse (รับรอง)"
224,"- Endorse (รับรอง)"
225,"- Endorse (รับรอง)"
226,"- Not endorse (ไม่รับรอง)"
227,"- Not endorse (ไม่รับรอง)"
228,"- Not endorse (ไม่รับรอง)"
229,"- No vote (ไม่ประสงค์ลงคะเเนน)"
230,"- Not endorse (ไม่รับรอง)"
231,"- Endorse (รับรอง)"
232,"- Endorse (รับรอง)"
233,"- No vote (ไม่ประสงค์ลงคะเเนน)"
234,"- Not endorse (ไม่รับรอง)"
235,"- Not endorse (ไม่รับรอง)"
236,"- No vote (ไม่ประสงค์ลงคะเเนน)"
237,"- Endorse (รับรอง)"
238,"- No vote (ไม่ประสงค์ลงคะเเนน)"
239,"- No vote (ไม่ประสงค์ลงคะเเนน)"
240,"- Not endorse (ไม่รับรอง)"
241,"- Endorse (รับรอง)"
242,"- Endorse (รับรอง)"
243,"- Endorse (รับรอง)"
244,"- No vote (ไม่ประสงค์ลงคะเเนน)"
245,"- Endorse (รับรอง)"
246,"- Endorse (รับรอง)"
247,"- Endorse (รับรอง)"
248,"- Endorse (รับรอง)"
249,"- Endorse (รับรอง)"
250,"- No vote (ไม่ประสงค์ลงคะเเนน)"
251,"- No vote (ไม่ประสงค์ลงคะเเนน)"
252,"- No vote (ไม่ประสงค์ลงคะเเนน)"
253,"- Not endorse (ไม่รับรอง)"
254,"- Endorse (รับรอง)"
255,"- Not endorse (ไม่รับรอง)"
256,"- Endorse (รับรอง)"
257,"- No vote (ไม่ประสงค์ลงคะเเนน)"
258,"- Endorse (รับรอง)"
259,"- Not endorse (ไม่รับรอง)"
260,"- Endorse (รับรอง)"
261,"- Endorse (รับรอง)"
262,"- Endorse (รับรอง)"
263,"- Endorse (รับรอง)"
264,"- Not endorse (ไม่รับรอง)"
265,"- No vote (ไม่ประสงค์ลงคะเเนน)"
266,"- Endorse (รับรอง)"
267,"- Endorse (รับรอง)"
268,"- Not endorse (ไม่รับรอง)"
269,"- No vote (ไม่ประสงค์ลงคะเเนน)"
270,"- Endorse (รับรอง)"
271,"- Not endorse (ไม่รับรอง)"
272,"- Endorse (รับรอง)"
273,"- Endorse (รับรอง)"
274,"- Not endorse (ไม่รับรอง)"
275,"- Not endorse (ไม่รับรอง)"
276,"- Endorse (รับรอง)"
277,"- Endorse (รับรอง)"
278,"- Endorse (รับรอง)"
279,"- Endorse (รับรอง)"
280,"- Endorse (รับรอง)"
281,"- No vote (ไม่ประสงค์ลงคะเเนน)"
282,"- No vote (ไม่ประสงค์ลงคะเเนน)"
283,"- Endorse (รับรอง)"
284,"- No vote (ไม่ประสงค์ลงคะเเนน)"
285,"- No vote (ไม่ประสงค์ลงคะเเนน)"
286,"- Endorse (รับรอง)"
287,"- Not endorse (ไม่รับรอง)"
288,"- No vote (ไม่ประสงค์ลงคะเเนน)"
289,"- Not endorse (ไม่รับรอง)"
290,"- No vote (ไม่ประสงค์ลงคะเเนน)"
291,"- No vote (ไม่ประสงค์ลงคะเเนน)"
292,"- Endorse (รับรอง)"
293,"- Endorse (รับรอง)"
294,"- Endorse (รับรอง)"
295,"- No vote (ไม่ประสงค์ลงคะเเนน)"
296,"- Not endorse (ไม่รับรอง)"
297,"- Endorse (รับรอง)"
298,"- Endorse (รับรอง)"
299,"- Endorse (รับรอง)"
300,"- Endorse (รับรอง)"
301,"- Endorse (รับรอง)"
302,"- No vote (ไม่ประสงค์ลงคะเเนน)"
303,"- Endorse (รับรอง)"
304,"- Not endorse (ไม่รับรอง)"
305,"- Endorse (รับรอง)"
306,"- No vote (ไม่ประสงค์ลงคะเเนน)"
307,"- Endorse (รับรอง)"
308,"- Not endorse (ไม่รับรอง)"
309,"- Endorse (รับรอง)"
310,"- No vote (ไม่ประสงค์ลงคะเเนน)"
311,"- No vote (ไม่ประสงค์ลงคะเเนน)"
312,"- No vote (ไม่ประสงค์ลงคะเเนน)"
313,"- Endorse (รับรอง)"
314,"- Not endorse (ไม่รับรอง)"
315,"- No vote (ไม่ประสงค์ลงคะเเนน)"
316,"- No vote (ไม่ประสงค์ลงคะเเนน)"
317,"- Endorse (รับรอง)"
318,"- Endorse (รับรอง)"
319,"- Not endorse (ไม่รับรอง)"
320,"- No vote (ไม่ประสงค์ลงคะเเนน)"
321,"- Endorse (รับรอง)"
322,"- No vote (ไม่ประสงค์ลงคะเเนน)"
323,"- Endorse (รับรอง)"
324,"- Not endorse (ไม่รับรอง)"
325,"- Endorse (รับรอง)"
326,"- Endorse (รับรอง)"
327,"- No vote (ไม่ประสงค์ลงคะเเนน)"
328,"- Not endorse (ไม่รับรอง)"
329,"- Endorse (รับรอง)"
330,"- Endorse (รับรอง)"
331,"- Endorse (รับรอง)"
332,"- No vote (ไม่ประสงค์ลงคะเเนน)"
333,"- Endorse (รับรอง)"
334,"- No vote (ไม่ประสงค์ลงคะเเนน)"
335,"- No vote (ไม่ประสงค์ลงคะเเนน)"
336,"- Endorse (รับรอง)"
337,"- Not endorse (ไม่รับรอง)"
338,"- Endorse (รับรอง)"
339,"- Endorse (รับรอง)"
340,"- Not endorse (ไม่รับรอง)"
341,"- Endorse (รับรอง)"
342,"- Not endorse (ไม่รับรอง)"
343,"- Not endorse (ไม่รับรอง)"
344,"- No vote (ไม่ประสงค์ลงคะเเนน)"
345,"- Endorse (รับรอง)"
346,"- No vote (ไม่ประสงค์ลงคะเเนน)"
347,"- Endorse (รับรอง)"
348,"- No vote (ไม่ประสงค์ลงคะเเนน)"
349,"- Endorse (รับรอง)"
350,"- Not endorse (ไม่รับรอง)"
351,"- Not endorse (ไม่รับรอง)"
352,"- Not endorse (ไม่รับรอง)"
353,"- Not endorse (ไม่รับรอง)"
354,"- Endorse (รับรอง)"
355,"- Endorse (รับรอง)"
356,"- Endorse (รับรอง)"
357,"- Endorse (รับรอง)"
358,"- Not endorse (ไม่รับรอง)"
359,"- Endorse (รับรอง)"
360,"- No vote (ไม่ประสงค์ลงคะเเนน)"
361,"- Endorse (รับรอง)"
362,"- Endorse (รับรอง)"
363,"- Endorse (รับรอง)"
364,"- Endorse (รับรอง)"
365,"- Endorse (รับรอง)"
366,"- Endorse (รับรอง)"
367,"- Endorse (รับรอง)"
368,"- Not endorse (ไม่รับรอง)"
369,"- Endorse (รับรอง)"
370,"- No vote (ไม่ประสงค์ลงคะเเนน)"
371,"- Endorse (รับรอง)"
372,"- No vote (ไม่ประสงค์ลงคะเเนน)"
373,"- Endorse (รับรอง)"
374,"- Endorse (รับรอง)"
375,"- Not endorse (ไม่รับรอง)"
376,"- Not endorse (ไม่รับรอง)"
377,"- Not endorse (ไม่รับรอง)"
378,"- Endorse (รับรอง)"
379,"- Endorse (รับรอง)"
380,"- Endorse (รับรอง)"
381,"- Endorse (รับรอง)"
382,"- Endorse (รับรอง)"
383,"- Endorse (รับรอง)"
384,"- No vote (ไม่ประสงค์ลงคะเเนน)"
385,"- No vote (ไม่ประสงค์ลงคะเเนน)"
386,"- Endorse (รับรอง)"
387,"- Endorse (รับรอง)"
388,"- Endorse (รับรอง)"
389,"- Endorse (รับรอง)"
390,"- No vote (ไม่ประสงค์ลงคะเเนน)"
391,"- Endorse (รับรอง)"
392,"- Not endorse (ไม่รับรอง)"
393,"- Endorse (รับรอง)"
394,"- Endorse (รับรอง)"
395,"- Not endorse (ไม่รับรอง)"
396,"- No vote (ไม่ประสงค์ลงคะเเนน)"
397,"- Endorse (รับรอง)"
398,"- Endorse (รับรอง)"
399,"- Endorse (รับรอง)"
400,"- No vote (ไม่ประสงค์ลงคะเเนน)"
401,"- Not endorse (ไม่รับรอง)"
402,"- No vote (ไม่ประสงค์ลงคะเเนน)"
403,"- Endorse (รับรอง)"
404,"- No vote (ไม่ประสงค์ลงคะเเนน)"
405,"- No vote (ไม่ประสงค์ลงคะเเนน)"
406,"- Endorse (รับรอง)"
407,"- Endorse (รับรอง)"
408,"- Not endorse (ไม่รับรอง)"
409,"- Not endorse (ไม่รับรอง)"
410,"- Not endorse (ไม่รับรอง)"
411,"- Not endorse (ไม่รับรอง)"
412,"- Not endorse (ไม่รับรอง)"
413,"- Endorse (รับรอง)"
414,"- No vote (ไม่ประสงค์ลงคะเเนน)"
415,"- No vote (ไม่ประสงค์ลงคะเเนน)"
416,"- Endorse (รับรอง)"
417,"- Endorse (รับรอง)"
418,"- Endorse (รับรอง)"
419,"- Endorse (รับรอง)"
420,"- Endorse (รับรอง)"
421,"- Not endorse (ไม่รับรอง)"
422,"- Endorse (รับรอง)"
423,"- Endorse (รับรอง)"
424,"- Endorse (รับรอง)"
425,"- Endorse (รับรอง)"
426,"- Not endorse (ไม่รับรอง)"
427,"- Endorse (รับรอง)"
428,"- Endorse (รับรอง)"
429,"- Endorse (รับรอง)"
430,"- No vote (ไม่ประสงค์ลงคะเเนน)"
431,"- Endorse (รับรอง)"
432,"- No vote (ไม่ประสงค์ลงคะเเนน)"
433,"- Endorse (รับรอง)"
434,"- Not endorse (ไม่รับรอง)"
435,"- Endorse (รับรอง)"
436,"- Not endorse (ไม่รับรอง)"
437,"- Endorse (รับรอง)"
438,"- Endorse (รับรอง)"
439,"- No vote (ไม่ประสงค์ลงคะเเนน)"
440,"- Endorse (รับรอง)"
441,"- Endorse (รับรอง)"
442,"- No vote (ไม่ประสงค์ลงคะเเนน)"
443,"- Endorse (รับรอง)"
444,"- Not endorse (ไม่รับรอง)"
445,"- Endorse (รับรอง)"
446,"- Endorse (รับรอง)"
447,"- No vote (ไม่ประสงค์ลงคะเเนน)"
448,"- No vote (ไม่ประสงค์ลงคะเเนน)"
449,"- Endorse (รับรอง)"
450,"- Endorse (รับรอง)"
451,"- Endorse (รับรอง)"
452,"- Not endorse (ไม่รับรอง)"
453,"- No vote (ไม่ประสงค์ลงคะเเนน)"
454,"- Endorse (รับรอง)"
455,"- No vote (ไม่ประสงค์ลงคะเเนน)"
456,"- Endorse (รับรอง)"
457,"- Endorse (รับรอง)"
458,"- No vote (ไม่ประสงค์ลงคะเเนน)"
459,"- Endorse (รับรอง)"
460,"- Endorse (รับรอง)"
461,"- Endorse (รับรอง)"
462,"- Endorse (รับรอง)"
463,"- Endorse (รับรอง)"
464,"- Not endorse (ไม่รับรอง)"
465,"- Endorse (รับรอง)"
466,"- No vote (ไม่ประสงค์ลงคะเเนน)"
467,"- Not endorse (ไม่รับรอง)"
468,"- No vote (ไม่ประสงค์ลงคะเเนน)"
469,"- Endorse (รับรอง)"
470,"- Endorse (รับรอง)"
471,"- Not endorse (ไม่รับรอง)"
472,"- Endorse (รับรอง)"
473,"- Endorse (รับรอง)"
474,"- No vote (ไม่ประสงค์ลงคะเเนน)"
475,"- No vote (ไม่ประสงค์ลงคะเเนน)"
476,"- Endorse (รับรอง)"
477,"- Endorse (รับรอง)"
478,"- Endorse (รับรอง)"
479,"- Not endorse (ไม่รับรอง)"
480,"- No vote (ไม่ประสงค์ลงคะเเนน)"
481,"- No vote (ไม่ประสงค์ลงคะเเนน)"
482,"- Endorse (รับรอง)"
483,"- Endorse (รับรอง)"
484,"- Endorse (รับรอง)"
485,"- No vote (ไม่ประสงค์ลงคะเเนน)"
486,"- Not endorse (ไม่รับรอง)"
487,"- No vote (ไม่ประสงค์ลงคะเเนน)"
488,"- Endorse (รับรอง)"
489,"- Endorse (รับรอง)"
490,"- No vote (ไม่ประสงค์ลงคะเเนน)"
491,"- Endorse (รับรอง)"
492,"- Endorse (รับรอง)"
493,"- Endorse (รับรอง)"
494,"- Not endorse (ไม่รับรอง)"
495,"- Not endorse (ไม่รับรอง)"
496,"- Endorse (รับรอง)"
497,"- Endorse (รับรอง)"
498,"- Endorse (รับรอง)"
499,"- Endorse (รับรอง)"
500,"- Endorse (รับรอง)"
501,"- Endorse (รับรอง)"
502,"- Not endorse (ไม่รับรอง)"
503,"- Endorse (รับรอง)"
504,"- Not endorse (ไม่รับรอง)"
505,"- Endorse (รับรอง)"
506,"- Endorse (รับรอง)"
507,"- Endorse (รับรอง)"
508,"- Endorse (รับรอง)"
509,"- Not endorse (ไม่รับรอง)"
510,"- Not endorse (ไม่รับรอง)"
511,"- Endorse (รับรอง)"
512,"- Endorse (รับรอง)"
513,"- Endorse (รับรอง)"
514,"- Endorse (รับรอง)"
515,"- Endorse (รับรอง)"
516,"- Endorse (รับรอง)"
517,"- Endorse (รับรอง)"
518,"- Endorse (รับรอง)"
519,"- Not endorse (ไม่รับรอง)"
520,"- Endorse (รับรอง)"
521,"- Endorse (รับรอง)"
522,"- No vote (ไม่ประสงค์ลงคะเเนน)"
523,"- Endorse (รับรอง)"
524,"- Not endorse (ไม่รับรอง)"
525,"- Not endorse (ไม่รับรอง)"
526,"- Endorse (รับรอง)"
527,"- No vote (ไม่ประสงค์ลงคะเเนน)"
528,"- No vote (ไม่ประสงค์ลงคะเเนน)"
529,"- Not endorse (ไม่รับรอง)"
530,"- Endorse (รับรอง)"
531,"- Endorse (รับรอง)"
532,"- Endorse (รับรอง)"
533,"- Endorse (รับรอง)"
534,"- Endorse (รับรอง)"
535,"- No vote (ไม่ประสงค์ลงคะเเนน)"
536,"- Endorse (รับรอง)"
537,"- Endorse (รับรอง)"
538,"- Endorse (รับรอง)"
539,"- No vote (ไม่ประสงค์ลงคะเเนน)"
540,"- Not endorse (ไม่รับรอง)"
541,"- No vote (ไม่ประสงค์ลงคะเเนน)"
542,"- Not endorse (ไม่รับรอง)"
543,"- Not endorse (ไม่รับรอง)"
544,"- Endorse (รับรอง)"
545,"- Endorse (รับรอง)"
546,"- Endorse (รับรอง)"
547,"- Not endorse (ไม่รับรอง)"
548,"- Endorse (รับรอง)"
549,"- Endorse (รับรอง)"
550,"- Not endorse (ไม่รับรอง)"
551,"- Endorse (รับรอง)"
552,"- Not endorse (ไม่รับรอง)"
553,"- No vote (ไม่ประสงค์ลงคะเเนน)"
554,"- Endorse (รับรอง)"
555,"- Not endorse (ไม่รับรอง)"
556,"- No vote (ไม่ประสงค์ลงคะเเนน)"
557,"- Not endorse (ไม่รับรอง)"
558,"- Endorse (รับรอง)"
559,"- Endorse (รับรอง)"
560,"- Endorse (รับรอง)"
561,"- Endorse (รับรอง)"
562,"- Not endorse (ไม่รับรอง)"
563,"- Not endorse (ไม่รับรอง)"
564,"- Endorse (รับรอง)"
565,"- Endorse (รับรอง)"
566,"- No vote (ไม่ประสงค์ลงคะเเนน)"
567,"- Not endorse (ไม่รับรอง)"
568,"- Endorse (รับรอง)"
569,"- No vote (ไม่ประสงค์ลงคะเเนน)"
570,"- Endorse (รับรอง)"
571,"- Not endorse (ไม่รับรอง)"
572,"- Endorse (รับรอง)"
573,"- Endorse (รับรอง)"
574,"- Endorse (รับรอง)"
575,"- Endorse (รับรอง)"
576,"- Endorse (รับรอง)"
577,"- Not endorse (ไม่รับรอง)"
578,"- Not endorse (ไม่รับรอง)"
579,"- Endorse (รับรอง)"
580,"- Endorse (รับรอง)"
581,"- Endorse (รับรอง)"
582,"- Endorse (รับรอง)"
583,"- Endorse (รับรอง)"
584,"- Not endorse (ไม่รับรอง)"
585,"- No vote (ไม่ประสงค์ลงคะเเนน)"
586,"- No vote (ไม่ประสงค์ลงคะเเนน)"
587,"- Not endorse (ไม่รับรอง)"
588,"- Not endorse (ไม่รับรอง)"
589,"- No vote (ไม่ประสงค์ลงคะเเนน)"
590,"- Endorse (รับรอง)"
591,"- Endorse (รับรอง)"
592,"- Endorse (รับรอง)"
593,"- Endorse (รับรอง)"
594,"- Endorse (รับรอง)"
595,"- Endorse (รับรอง)"
596,"- Endorse (รับรอง)"
597,"- Endorse (รับรอง)"
598,"- Endorse (รับรอง)"
599,"- Not endorse (ไม่รับรอง)"
600,"- Not endorse (ไม่รับรอง)"
601,"- No vote (ไม่ประสงค์ลงคะเเนน)"
602,"- No vote (ไม่ประสงค์ลงคะเเนน)"
603,"- Not endorse (ไม่รับรอง)"
604,"- Not endorse (ไม่รับรอง)"
605,"- No vote (ไม่ประสงค์ลงคะเเนน)"
606,"- Endorse (รับรอง)"
607,"- Not endorse (ไม่รับรอง)"
608,"- No vote (ไม่ประสงค์ลงคะเเนน)"
609,"- No vote (ไม่ประสงค์ลงคะเเนน)"
610,"- Endorse (รับรอง)"
611,"- Endorse (รับรอง)"
612,"- No vote (ไม่ประสงค์ลงคะเเนน)"
613,"- Endorse (รับรอง)"
614,"- Not endorse (ไม่รับรอง)"
615,"- Endorse (รับรอง)"
616,"- Endorse (รับรอง)"
617,"- Endorse (รับรอง)"
618,"- Not endorse (ไม่รับรอง)"
619,"- Endorse (รับรอง)"
620,"- Endorse (รับรอง)"
621,"- Endorse (รับรอง)"
622,"- Endorse (รับรอง)"
623,"- Endorse (รับรอง)"
624,"- Endorse (รับรอง)"
625,"- Endorse (รับรอง)"
626,"- Not endorse (ไม่รับรอง)"
627,"- Not endorse (ไม่รับรอง)"
628,"- Not endorse (ไม่รับรอง)"
629,"- Endorse (รับรอง)"
630,"- Endorse (รับรอง)"
631,"- Endorse (รับรอง)"
632,"- Endorse (รับรอง)"
633,"- No vote (ไม่ประสงค์ลงคะเเนน)"
634,"- Endorse (รับรอง)"
635,"- Endorse (รับรอง)"
636,"- Not endorse (ไม่รับรอง)"
637,"- No vote (ไม่ประสงค์ลงคะเเนน)"
638,"- Endorse (รับรอง)"
639,"- Endorse (รับรอง)"
640,"- No vote (ไม่ประสงค์ลงคะเเนน)"
641,"- Endorse (รับรอง)"
642,"- Endorse (รับรอง)"
643,"- Endorse (รับรอง)"
644,"- Endorse (รับรอง)"
645,"- Endorse (รับรอง)"
646,"- Not endorse (ไม่รับรอง)"
647,"- Not endorse (ไม่รับรอง)"
648,"- Endorse (รับรอง)"
649,"- Endorse (รับรอง)"
650,"- No vote (ไม่ประสงค์ลงคะเเนน)"
651,"- No vote (ไม่ประสงค์ลงคะเเนน)"
652,"- Endorse (รับรอง)"
653,"- Endorse (รับรอง)"
654,"- No vote (ไม่ประสงค์ลงคะเเนน)"
655,"- Endorse (รับรอง)"
656,"- Endorse (รับรอง)"
657,"- Not endorse (ไม่รับรอง)"
658,"- Endorse (รับรอง)"
659,"- Endorse (รับรอง)"
660,"- No vote (ไม่ประสงค์ลงคะเเนน)"
661,"- Not endorse (ไม่รับรอง)"
