"Response number","Vote for the student council party"
1,"- No vote (ไม่ประสงค์ลงคะเเนน)"
2,"- Endorse (รับรอง)"
3,"- Not endorse (ไม่รับรอง)"
4,"- Endorse (รับรอง)"
5,"- Endorse (รับรอง)"
6,"- Endorse (รับรอง)"
7,"- Not endorse (ไม่รับรอง)"
8,"- Not endorse (ไม่รับรอง)"
9,"- Endorse (รับรอง)"
10,"- Endorse (รับรอง)"
11,"- Endorse (รับรอง)"
12,"- Not endorse (ไม่รับรอง)"
13,"- Not endorse (ไม่รับรอง)"
14,"- No vote (ไม่ประสงค์ลงคะเเนน)"
15,"- No vote (ไม่ประสงค์ลงคะเเนน)"
16,"- Endorse (รับรอง)"
17,"- Not endorse (ไม่รับรอง)"
18,"- Endorse (รับรอง)"
19,"- No vote (ไม่ประสงค์ลงคะเเนน)"
20,"- Not endorse (ไม่รับรอง)"
21,"- Not endorse (ไม่รับรอง)"
22,"- Endorse (รับรอง)"
23,"- No vote (ไม่ประสงค์ลงคะเเนน)"
24,"- Endorse (รับรอง)"
25,"- Endorse (รับรอง)"
26,"- Endorse (รับรอง)"
27,"- Endorse (รับรอง)"
28,"- Endorse (รับรอง)"
29,"- Not endorse (ไม่รับรอง)"
30,"- Endorse (รับรอง)"
31,"- Endorse (รับรอง)"
32,"- Not endorse (ไม่รับรอง)"
33,"- Not endorse (ไม่รับรอง)"
34,"- No vote (ไม่ประสงค์ลงคะเเนน)"
35,"- Not endorse (ไม่รับรอง)"
36,"- Endorse (รับรอง)"
37,"- Endorse (รับรอง)"
38,"- No vote (ไม่ประสงค์ลงคะเเนน)"
39,"- Endorse (รับรอง)"
40,"- No vote (ไม่ประสงค์ลงคะเเนน)"
41,"- Endorse (รับรอง)"
42,"- No vote (ไม่ประสงค์ลงคะเเนน)"
43,"- No vote (ไม่ประสงค์ลงคะเเนน)"
44,"- Not endorse (ไม่รับรอง)"
45,"- Not endorse (ไม่รับรอง)"
46,"- Endorse (รับรอง)"
47,"- No vote (ไม่ประสงค์ลงคะเเนน)"
48,"- No vote (ไม่ประสงค์ลงคะเเนน)"
49,"- Endorse (รับรอง)"
50,"- Not endorse (ไม่รับรอง)"
51,"- No vote (ไม่ประสงค์ลงคะเเนน)"
52,"- Endorse (รับรอง)"
53,"- Endorse (รับรอง)"
54,"- Not endorse (ไม่รับรอง)"
55,"- No vote (ไม่ประสงค์ลงคะเเนน)"
56,"- Endorse (รับรอง)"
