"Response number","Vote for the student council party"
161,"- Not endorse (ไม่รับรอง)"
162,"- Endorse (รับรอง)"
163,"- No vote (ไม่ประสงค์ลงคะเเนน)"
164,"- Endorse (รับรอง)"
165,"- No vote (ไม่ประสงค์ลงคะเเนน)"
166,"- No vote (ไม่ประสงค์ลงคะเเนน)"
167,"- No vote (ไม่ประสงค์ลงคะเเนน)"
168,"- Endorse (รับรอง)"
169,"- Endorse (รับรอง)"
170,"- Endorse (รับรอง)"
171,"- Endorse (รับรอง)"
172,"- Endorse (รับรอง)"
173,"- No vote (ไม่ประสงค์ลงคะเเนน)"
174,"- Endorse (รับรอง)"
175,"- No vote (ไม่ประสงค์ลงคะเเนน)"
176,"- Endorse (รับรอง)"
177,"- Endorse (รับรอง)"
178,"- Endorse (รับรอง)"
179,"- No vote (ไม่ประสงค์ลงคะเเนน)"
180,"- No vote (ไม่ประสงค์ลงคะเเนน)"
181,"- Endorse (รับรอง)"
182,"- No vote (ไม่ประสงค์ลงคะเเนน)"
183,"- Endorse (รับรอง)"
184,"- Endorse (รับรอง)"
185,"- Endorse (รับรอง)"
186,"- Endorse (รับรอง)"
187,"- Endorse (รับรอง)"
188,"- No vote (ไม่ประสงค์ลงคะเเนน)"
189,"- No vote (ไม่ประสงค์ลงคะเเนน)"
190,"- Endorse (รับรอง)"
191,"- No vote (ไม่ประสงค์ลงคะเเนน)"
192,"- Endorse (รับรอง)"
193,"- Endorse (รับรอง)"
194,"- Endorse (รับรอง)"
195,"- No vote (ไม่ประสงค์ลงคะเเนน)"
196,"- Endorse (รับรอง)"
197,"- Endorse (รับรอง)"
198,"- No vote (ไม่ประสงค์ลงคะเเนน)"
199,"- Endorse (รับรอง)"
200,"- Endorse (รับรอง)"
201,"- Endorse (รับรอง)"
202,"- Endorse (รับรอง)"
203,"- Endorse (รับรอง)"
204,"- Endorse (รับรอง)"
205,"- No vote (ไม่ประสงค์ลงคะเเนน)"
206,"- Endorse (รับรอง)"
207,"- No vote (ไม่ประสงค์ลงคะเเนน)"
208,"- No vote (ไม่ประสงค์ลงคะเเนน)"
209,"- No vote (ไม่ประสงค์ลงคะเเนน)"
210,"- Endorse (รับรอง)"
211,"- No vote (ไม่ประสงค์ลงคะเเนน)"
212,"- Endorse (รับรอง)"
213,"- Endorse (รับรอง)"
214,"- Endorse (รับรอง)"
215,"- Endorse (รับรอง)"
216,"- Endorse (รับรอง)"
217,"- No vote (ไม่ประสงค์ลงคะเเนน)"
218,"- Endorse (รับรอง)"
219,"- No vote (ไม่ประสงค์ลงคะเเนน)"
220,"- Not endorse (ไม่รับรอง)"
221,"- Endorse (รับรอง)"
222,"- Endorse (รับรอง)"
223,"- Endorse (รับรอง)"
224,"- Endorse (รับรอง)"
225,"- Endorse (รับรอง)"
